 Frame Exposure Time (us), Dimensions (px), Total Exposure Time (ms), Number of Frames, FPS 
 4000, 200, 1012, 200, 197.628458 
 2000, 200, 1009, 200, 198.216056 
 1500, 200, 1010, 200, 198.019802 
 1000, 200, 1008, 200, 198.412698 
 500, 200, 1010, 200, 198.019802 
 100000, 100, 20076, 200, 9.962144 
 50000, 100, 10076, 200, 19.849146 
 30000, 100, 6086, 200, 32.862307 
 20000, 100, 4086, 200, 48.947626 
 15000, 100, 3082, 200, 64.892927 
 10000, 100, 2082, 200, 96.061479 
 8000, 100, 1677, 200, 119.260584 
 7000, 100, 1484, 200, 134.770889 
 6000, 100, 1281, 200, 156.128025 
 5000, 100, 1078, 200, 185.528757 
 4000, 100, 1006, 200, 198.807157 
 2000, 100, 1006, 200, 198.807157 
 1500, 100, 1005, 200, 199.004975 
 1000, 100, 1003, 200, 199.401795 
 500, 100, 1006, 200, 198.807157 
 100000, 64, 20085, 200, 9.957680 
 50000, 64, 10085, 200, 19.831433 
 30000, 64, 6085, 200, 32.867707 
 20000, 64, 4085, 200, 48.959608 
 15000, 64, 3081, 200, 64.913989 
 10000, 64, 2082, 200, 96.061479 
 8000, 64, 1676, 200, 119.331742 
 7000, 64, 1483, 200, 134.861767 
 6000, 64, 1280, 200, 156.250000 
 5000, 64, 1077, 200, 185.701021 
 4000, 64, 1006, 200, 198.807157 
 2000, 64, 1006, 200, 198.807157 
 1500, 64, 1006, 200, 198.807157 
 1000, 64, 1006, 200, 198.807157 
 500, 64, 1006, 200, 198.807157 
 100000, 32, 20084, 200, 9.958176 
 50000, 32, 10085, 200, 19.831433 
 30000, 32, 6085, 200, 32.867707 
 20000, 32, 4085, 200, 48.959608 
 15000, 32, 3081, 200, 64.913989 
 10000, 32, 2081, 200, 96.107641 
 8000, 32, 1675, 200, 119.402985 
 7000, 32, 1484, 200, 134.770889 
 6000, 32, 1279, 200, 156.372166 
 5000, 32, 1077, 200, 185.701021 
 4000, 32, 1005, 200, 199.004975 
 2000, 32, 1005, 200, 199.004975 
 1500, 32, 1006, 200, 198.807157 
 1000, 32, 1006, 200, 198.807157 
 500, 32, 1005, 200, 199.004975 
