434.104
11007447.0390625; 4980919.0390625; 8300151.0390625
10351799.0390625; 5842759.0390625; 9247975.0390625
8829383.0390625; 6208775.0390625; 9083399.0390625
6546887.0390625; 5849623.0390625; 8631431.0390625
4358935.0390625; 5089847.0390625; 7402599.0390625
2797943.0390625; 4016119.0390625; 6046023.0390625
1587335.0390625; 2892039.0390625; 4655543.0390625
855063.0390625; 1989367.0390625; 3306327.0390625
486359.0390625; 1321895.0390625; 2314423.0390625
306039.0390625; 813527.0390625; 1532711.0390625
10612071.0390625; 4630919.0390625; 6856407.0390625
11266663.0390625; 5837591.0390625; 8150487.0390625
9855111.0390625; 6324823.0390625; 8465047.0390625
7177031.0390625; 5852103.0390625; 7883527.0390625
4980551.0390625; 5053687.0390625; 6960551.0390625
3152247.0390625; 4022167.0390625; 5963847.0390625
1895911.0390625; 2995703.0390625; 4683847.0390625
1010295.0390625; 2018407.0390625; 3434919.0390625
576087.0390625; 1303047.0390625; 2446007.0390625
337767.0390625; 835335.0390625; 1626391.0390625
6397961.97509766; 3637225.97509766; 8904841.97509766
7163193.97509766; 5201561.97509766; 9545929.97509766
7446329.97509766; 6431513.97509766; 8562745.97509766
7107721.97509766; 6860393.97509766; 7015721.97509766
6169369.97509766; 6566825.97509766; 5043017.97509766
5196265.97509766; 5547657.97509766; 3367993.97509766
3960377.97509766; 4209289.97509766; 2034345.97509766
2871881.97509766; 2997561.97509766; 1148553.97509766
2046537.97509766; 2008521.97509766; 667593.975097656
1424937.97509766; 1234185.97509766; 375577.975097656
4594777.97509766; 2745321.97509766; 7363721.97509766
5874233.97509766; 4300009.97509766; 8680665.97509766
6175241.97509766; 5604537.97509766; 8272969.97509766
6000409.97509766; 6246169.97509766; 6926313.97509766
5704457.97509766; 6450873.97509766; 5303337.97509766
4900441.97509766; 5752793.97509766; 3715241.97509766
3925993.97509766; 4583593.97509766; 2282121.97509766
2877545.97509766; 3327193.97509766; 1323305.97509766
2144313.97509766; 2269209.97509766; 765753.975097656
1504937.97509766; 1475577.97509766; 437353.975097656
