-0.796791,-0.987119,0.587017,0.0815978,-9.61027,-0.277067,0.536475,-9.9738,0.772134,0.0213128,-9.90134,-0.301479,0.21511,-9.82847,0.000372267,0.000637433,-0.001
-0.847103,-0.981993,0.736207,-0.20095,-9.89951,0.0621117,-0.0663743,-10.3867,0.558397,-0.458531,-9.52319,-0.120708,0.0364608,-9.93646,0.000348554,0.000677683,-0.001
-0.960644,-1.02068,0.587626,-0.0852514,-9.55425,-0.049933,0.306296,-9.89891,0.682011,-0.346486,-9.70831,-0.152841,0.201301,-9.72049,0.000330217,0.000768515,-0.001
-0.766284,-1.53415,0.534039,-0.180855,-9.80452,-0.0736816,0.353793,-10.0536,0.824503,-0.484106,-10.0609,-0.163446,0.312605,-9.97299,0.000767391,0.000613027,-0.001
-0.746803,-0.980279,0.604067,-0.106564,-9.88673,-0.0761173,0.33248,-9.94701,0.710022,-0.322128,-9.85384,-0.182161,0.212861,-9.89586,0.000387474,0.000597442,-0.000984916
-0.545385,-1.04905,0.446961,-0.0724637,-9.71988,-0.00730726,0.416514,-9.58226,0.770916,-0.39581,-10.0542,-0.112076,0.310399,-9.78544,0.000516182,0.000436308,-0.00095249
-0.717119,-0.942124,0.602849,-0.0548045,-9.90439,-0.000608939,0.173547,-9.81609,0.638777,-0.409816,-9.77042,-0.104661,0.145657,-9.8303,0.000372639,0.000573695,-0.000946335
-0.728584,-0.846613,0.525514,0.00487151,-9.70283,-0.00974302,0.363536,-10.0986,0.703324,-0.352575,-9.76128,-0.104871,0.230457,-9.85425,0.000301196,0.000582867,-0.000884063
-0.757828,-1.24884,0.530994,-0.231397,-9.76616,-0.0261844,0.239313,-9.90073,0.796492,-0.448179,-9.75885,-0.167398,0.269674,-9.80858,0.000571054,0.000606263,-0.001
-0.779107,-0.868955,0.640603,-0.100475,-9.83801,-0.0937765,0.385458,-9.79417,0.698453,-0.179028,-9.83192,-0.231759,0.191769,-9.82137,0.000296625,0.000623286,-0.000919911
-0.652615,-1.10254,0.48776,-0.187553,-9.71013,0.0858603,0.302034,-9.93422,0.739251,-0.512726,-9.65594,-0.0820151,0.289988,-9.76677,0.000510732,0.000522092,-0.001
-0.566006,-1.15068,0.75143,0.0133966,-10.1072,0.000608939,0.220436,-9.6943,0.541955,-0.378151,-9.41663,-0.102335,0.0738025,-9.73936,0.000579073,0.000452805,-0.001
-0.774941,-0.879287,0.666179,0.0420168,-10.0627,0.0554134,0.26976,-9.79721,0.566313,-0.388503,-9.60296,-0.0626675,0.11884,-9.82096,0.000305524,0.000619953,-0.000925477
